#Axion frequency	#gann(GeV^-1)
103.238296657922	3.36705349217307e-08
104.271612562503	3.11708861859203e-08
105.31527096394	2.82020721148835e-08
106.369375380664	2.62718415926839e-08
107.434030367227	2.61119511413173e-08
108.509341524669	2.59177599936804e-08
109.595415510998	2.55728300247262e-08
110.692360051761	2.57157491344728e-08
111.800283950738	2.5864221535774e-08
112.919297100729	2.7784094231731e-08
114.049510494455	2.94687631309164e-08
115.191036235566	3.04508560261314e-08
116.343987549764	3.09961130717797e-08
117.508478796029	3.0972497790354e-08
118.684625477966	3.13203617923849e-08
119.872544255257	3.12560522366544e-08
121.072352955239	3.13238045851973e-08
122.284170584584	3.21242910393479e-08
123.508117341108	3.38534434686868e-08
124.744314625689	3.36617365011944e-08
125.992885054314	3.42399544732913e-08
127.253952470236	3.6271643161433e-08
128.52764195626	3.70495209101978e-08
129.814079847149	3.87669042857037e-08
131.113393742156	3.9658344756566e-08
132.42571251768	4.07528385114544e-08
133.751166340047	4.43057386712476e-08
135.089886678424	4.70522097269953e-08
136.442006317857	4.72024687955677e-08
137.807659372442	4.98951705478972e-08
139.18698129863	5.22008317431096e-08
140.580108908658	4.79840550181066e-08
141.987180384123	4.41405816831236e-08
143.408335289687	4.53150494101906e-08
144.843714586918	4.22142933156566e-08
146.293460648276	3.70192230815717e-08
147.757717271231	3.67514449190115e-08
149.236629692528	6.7134766904045e-08
150.730344602589	6.78400340033415e-08
152.239010160069	3.87196851476719e-08
153.762776006547	3.94355415055732e-08
155.301793281372	4.05704987760476e-08
156.856214636649	4.42735945971893e-08
158.426194252386	4.85327023575703e-08
160.011887851783	4.6577751327928e-08
161.61345271668	4.31418025389141e-08
163.231047703157	4.37957269481571e-08
164.86483325729	4.42022596367536e-08
166.514971431065	4.49919112981194e-08
168.181625898453	4.67529711726238e-08
169.864961971644	4.69844640304001e-08
171.565146617443	4.90482926658109e-08
173.282348473832	5.09460120427314e-08
175.016737866698	5.14225567308075e-08
176.768486826725	5.21511620182336e-08
178.537769106458	5.19948662978393e-08
180.324760197538	5.34427391259921e-08
182.129637348109	5.52165593679898e-08
183.952579580397	5.68451020567957e-08
